"Laikotarpis","Rodiklis","Tipas","Lytis","Sektorius","Matavimo vienetai","Reikšmė"
"2003","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"2003","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2003","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2003","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"2003","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2004","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","332.9"
"2004","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","368.2"
"2004","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","309.8"
"2004","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2004","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"2004","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2004","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2004","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"2004","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2005","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","369.6"
"2005","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","409.4"
"2005","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","345.8"
"2005","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2005","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR",
"2005","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
"2005","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR",
"2005","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR",
"2005","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR",
